"name","split","acc_mean","acc_std","n_way","n_shot","n_query"
"s2_10_5","train","51.07888888888889","5.031279811659243","10","5","15"
"s2_10_5","val","43.90777777777778","5.43074364550656","10","5","15"
"s2_10_5","test","37.01444444444444","6.318211088435135","10","5","15"
"s2_20_5","train","8.668888888888889","2.891877940835567","20","5","15"
"s2_20_5","val","8.403333333333334","2.3893102987480934","20","5","15"
"s2_20_5","test","7.915555555555555","2.157051027630656","20","5","15"
"s2_30_5","train","3.6533333333333333","1.992575519684534","30","5","15"
"s2_30_5","val","3.7522222222222217","1.558015647290375","30","5","15"
"s2_30_5","test","3.9218518518518524","1.6369397909778765","30","5","15"
