timestamp,dataset,name,split,acc_mean,acc_std,n_way,n_shot,n_query,learning_rate,backbone_weight_decay,backbone_dropout
20231211-012529,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.0bbwd_0.2do,test,47.20444444444444,8.264227836186214,5,5,15,0.01,0.0,0.2
20231211-012827,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.001bbwd_0.0do,train,71.86888888888889,10.333003340011622,5,5,15,0.01,0.001,0.0
20231211-012827,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.001bbwd_0.0do,val,60.67333333333333,10.176513992376615,5,5,15,0.01,0.001,0.0
20231211-012827,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.001bbwd_0.0do,test,53.675555555555555,9.129272955244467,5,5,15,0.01,0.001,0.0
20231211-013126,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.001bbwd_0.1do,train,65.86222222222221,12.123511694326407,5,5,15,0.01,0.001,0.1
20231211-013126,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.001bbwd_0.1do,val,58.16222222222221,11.712496439252657,5,5,15,0.01,0.001,0.1
20231211-013126,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.001bbwd_0.1do,test,40.842222222222226,7.803816413607123,5,5,15,0.01,0.001,0.1
20231211-013425,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.001bbwd_0.2do,train,66.35777777777778,11.305167397103999,5,5,15,0.01,0.001,0.2
20231211-013425,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.001bbwd_0.2do,val,61.091111111111104,10.105399852199788,5,5,15,0.01,0.001,0.2
20231211-013425,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.001bbwd_0.2do,test,46.05555555555555,8.5307215331731,5,5,15,0.01,0.001,0.2
20231211-013725,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.0bbwd_0.0do,train,79.0488888888889,10.337517910176015,5,5,15,0.001,0.0,0.0
20231211-013725,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.0bbwd_0.0do,val,59.69555555555556,10.724802452927559,5,5,15,0.001,0.0,0.0
20231211-013725,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.0bbwd_0.0do,test,50.34444444444444,8.449231099504825,5,5,15,0.001,0.0,0.0
20231211-014025,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.0bbwd_0.1do,train,92.22666666666667,7.479088873009224,5,5,15,0.001,0.0,0.1
20231211-014025,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.0bbwd_0.1do,val,57.23555555555555,12.046179456830819,5,5,15,0.001,0.0,0.1
20231211-014025,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.0bbwd_0.1do,test,44.17777777777778,7.77676183841051,5,5,15,0.001,0.0,0.1
20231211-014326,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.0bbwd_0.2do,train,87.79777777777777,8.314413782294569,5,5,15,0.001,0.0,0.2
20231211-014326,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.0bbwd_0.2do,val,61.1,10.458896620510144,5,5,15,0.001,0.0,0.2
20231211-014326,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.0bbwd_0.2do,test,48.86,7.991362930156626,5,5,15,0.001,0.0,0.2
20231211-014625,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.001bbwd_0.0do,train,87.28666666666666,8.309435065701587,5,5,15,0.001,0.001,0.0
20231211-014625,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.001bbwd_0.0do,val,61.40888888888888,11.348235083314622,5,5,15,0.001,0.001,0.0
20231211-014625,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.001bbwd_0.0do,test,50.80888888888889,8.150287126654716,5,5,15,0.001,0.001,0.0
20231211-014926,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.001bbwd_0.1do,train,87.74444444444445,8.625364547672575,5,5,15,0.001,0.001,0.1
20231211-014926,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.001bbwd_0.1do,val,60.62,10.843979725926099,5,5,15,0.001,0.001,0.1
20231211-014926,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.001bbwd_0.1do,test,47.39333333333333,7.964883110439409,5,5,15,0.001,0.001,0.1
20231211-015226,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.001bbwd_0.2do,train,79.61111111111111,10.415651802414278,5,5,15,0.001,0.001,0.2
20231211-015226,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.001bbwd_0.2do,val,59.27555555555556,11.346250590795877,5,5,15,0.001,0.001,0.2
20231211-015226,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.001lr_0.001bbwd_0.2do,test,44.38666666666666,7.7439658707543,5,5,15,0.001,0.001,0.2
20231211-015524,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.0bbwd_0.0do,train,88.52444444444444,8.259705551802023,5,5,15,0.0001,0.0,0.0
20231211-015524,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.0bbwd_0.0do,val,55.24888888888888,9.631059836811675,5,5,15,0.0001,0.0,0.0
20231211-015524,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.0bbwd_0.0do,test,47.58222222222223,7.354130778424657,5,5,15,0.0001,0.0,0.0
20231211-015823,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.0bbwd_0.1do,train,84.77333333333333,10.729835178741702,5,5,15,0.0001,0.0,0.1
20231211-015823,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.0bbwd_0.1do,val,56.18888888888889,9.756283192302028,5,5,15,0.0001,0.0,0.1
20231211-015823,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.0bbwd_0.1do,test,43.45333333333333,7.375864544429878,5,5,15,0.0001,0.0,0.1
20231211-020123,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.0bbwd_0.2do,train,83.07333333333334,9.863841187030687,5,5,15,0.0001,0.0,0.2
20231211-020123,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.0bbwd_0.2do,val,54.57333333333333,10.394166455098567,5,5,15,0.0001,0.0,0.2
20231211-020123,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.0bbwd_0.2do,test,43.74666666666667,7.404571160713771,5,5,15,0.0001,0.0,0.2
20231211-020423,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.001bbwd_0.0do,train,88.88666666666667,7.959464899192753,5,5,15,0.0001,0.001,0.0
20231211-020423,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.001bbwd_0.0do,val,56.76,10.68762662909605,5,5,15,0.0001,0.001,0.0
20231211-020423,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.001bbwd_0.0do,test,47.78000000000001,7.826387464260938,5,5,15,0.0001,0.001,0.0
20231211-020724,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.001bbwd_0.1do,train,87.16888888888889,8.811587208658977,5,5,15,0.0001,0.001,0.1
20231211-020724,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.001bbwd_0.1do,val,53.955555555555556,10.56469779530739,5,5,15,0.0001,0.001,0.1
20231211-020724,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.001bbwd_0.1do,test,43.36222222222223,7.441568598748288,5,5,15,0.0001,0.001,0.1
20231211-021024,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.001bbwd_0.2do,train,81.16666666666667,9.867210945948802,5,5,15,0.0001,0.001,0.2
20231211-021024,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.001bbwd_0.2do,val,53.153333333333336,10.23777536598867,5,5,15,0.0001,0.001,0.2
20231211-021024,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.0001lr_0.001bbwd_0.2do,test,45.9,8.326775197228828,5,5,15,0.0001,0.001,0.2
