"timestamp", "dataset", "name", "split", "acc_mean", "acc_std", "n_way", "n_shot", "n_query"
20231209-003812,tabula_muris,matchingnet_5w_70s,val,92.35333333333334,5.759852107154862,5,70,15
20231209-003812,tabula_muris,matchingnet_5w_70s,test,91.21333333333334,6.913034387622013,5,70,15
20231209-005739,tabula_muris,matchingnet_5w_90s,train,96.00888888888888,4.831983975118552,5,90,15
20231209-005739,tabula_muris,matchingnet_5w_90s,val,90.32666666666667,6.476849943080756,5,90,15
20231209-005739,tabula_muris,matchingnet_5w_90s,test,91.11333333333333,6.387410070396876,5,90,15
20231209-010213,tabula_muris,matchingnet_10w_5s,train,98.59555555555556,2.0564574597959995,10,5,15
20231209-010213,tabula_muris,matchingnet_10w_5s,val,76.24666666666667,7.065401354225838,10,5,15
20231209-010213,tabula_muris,matchingnet_10w_5s,test,70.97333333333333,7.605506776890896,10,5,15
20231209-010826,tabula_muris,matchingnet_20w_5s,train,95.91611111111112,2.686281966300102,20,5,15
20231209-010826,tabula_muris,matchingnet_20w_5s,val,64.75222222222222,5.193380283152015,20,5,15
20231209-010826,tabula_muris,matchingnet_20w_5s,test,62.178333333333335,5.05684840001564,20,5,15
20231209-011644,tabula_muris,matchingnet_30w_5s,train,87.2537037037037,3.277532424380717,30,5,15
20231209-011644,tabula_muris,matchingnet_30w_5s,val,57.64185185185185,3.556441074143447,30,5,15
20231209-011644,tabula_muris,matchingnet_30w_5s,test,54.17333333333333,3.246891010577334,30,5,15
20231209-012710,tabula_muris,matchingnet_40w_5s,train,87.28916666666667,2.3520564780476496,40,5,15
20231209-012710,tabula_muris,matchingnet_40w_5s,val,51.77207977207977,2.1232546151208096,40,5,15
20231209-012710,tabula_muris,matchingnet_40w_5s,test,48.3104938271605,2.4468851607274384,40,5,15
20231209-015412,tabula_muris,maml_5w_1s,train,90.79333333333334,9.9824416222055,5,1,15
20231209-015412,tabula_muris,maml_5w_1s,val,74.28444444444445,13.827368816772832,5,1,15
20231209-015412,tabula_muris,maml_5w_1s,test,70.64222222222222,13.947499266982204,5,1,15
20231209-020052,tabula_muris,maml_5w_5s,train,96.57111111111111,5.059327530584317,5,5,15
20231209-020052,tabula_muris,maml_5w_5s,val,85.82222222222221,9.622401845898489,5,5,15
20231209-020052,tabula_muris,maml_5w_5s,test,86.75555555555555,8.663133182816129,5,5,15
20231209-020707,tabula_muris,maml_5w_10s,train,97.96666666666667,3.2739714245681633,5,10,15
20231209-020707,tabula_muris,maml_5w_10s,val,88.15777777777778,8.51501477058084,5,10,15
20231209-020707,tabula_muris,maml_5w_10s,test,88.29777777777778,7.839514976178591,5,10,15
